음원코드,자료명,제작사,저자_연주자,제작년도,장르,키워드,홈페이지 주소(URL)
서도-22,자진배따라기,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 이유리",2021,정악기악,"자진배따라기,서도민요",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Seodo-22.wav
서도-23,자진산염불,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 이유리",2021,정악기악,"산염불,황해도민요,자진산염불",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Seodo-23.wav
서도-24,자진아리,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 이유리",2021,정악기악,"자진아리,용강자진아리",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Seodo-24.wav
서도-25,풍구타령,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 이유리",2021,정악기악,"풍구타령,풍구,타령,노동요,유흥요,자진모리장단",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Seodo-25.wav
서도-26,함경도애원성,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 이유리",2021,정악기악,"함경도,애원성,함경도애원성,서도민요",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Seodo-26.wav
서도-27,호무가,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 이유리",2021,정악기악,"호무가,김매기소리,호미가",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Seodo-27.wav
제주도-01,서우젯소리,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"서우젯소리,토속민요,무가",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Jejudo-01.wav
제주도-02,둥그레당실,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"둥그대당실,오돌또기",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Jejudo-02.wav
제주도-03,이야옹타령,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"이야옹,타령,이야옹,타령,이야흥,흥타령",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Jejudo-03.wav
제주도-04,이어도사나,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"이어도사나,구전민요",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Jejudo-04.wav
